player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
Richard Jefferson,DAL,74,16.8,1.9,4.4,.444,0.9,2.1,.426,1.1,1.5,.684,0.7,1.6,0.3,2.1,2.5,0.8,0.4,5.8
Spencer Hawes,LAC,73,17.5,2.2,5.7,.393,0.8,2.4,.312,0.6,0.9,.647,0.8,2.4,0.4,3.1,3.5,1.2,0.3,5.8
Vince Carter,MEM,66,16.5,2.0,6.2,.333,1.0,3.5,.297,0.7,0.9,.789,0.7,1.5,0.4,1.6,2.0,1.2,0.7,5.8
Kirk Hinrich,CHI,66,24.4,2.2,5.8,.373,0.9,2.5,.345,0.5,0.8,.700,1.1,2.2,0.3,1.5,1.8,2.2,0.7,5.7
Pero Antic,ATL,63,16.5,1.7,4.7,.365,0.8,2.7,.301,1.4,2.0,.715,0.8,2.1,0.9,2.1,3.0,0.8,0.3,5.7
Al-Farouq Aminu,DAL,74,18.5,2.0,4.8,.412,0.5,1.7,.274,1.1,1.6,.712,0.7,1.9,1.5,3.1,4.6,0.8,0.9,5.6
JaKarr Sampson,PHI,74,15.3,2.0,4.7,.422,0.4,1.7,.244,0.9,1.3,.670,1.0,1.8,0.5,1.7,2.2,1.0,0.5,5.2
Kent Bazemore,ATL,75,17.6,1.9,4.4,.426,0.6,1.8,.364,0.8,1.3,.600,1.0,1.7,0.3,2.7,3.0,1.0,0.7,5.2
Kosta Koufos,MEM,81,16.6,2.2,4.4,.508,0.0,0.0,.000,0.7,1.0,.647,0.9,1.8,1.5,3.8,5.3,0.5,0.4,5.2
Dante Cunningham,NOP,66,25.0,2.3,5.1,.457,0.0,0.2,.100,0.4,0.7,.617,0.5,1.5,1.1,2.8,3.9,0.8,0.7,5.2
Joe Ingles,UTA,79,21.2,1.9,4.5,.415,0.9,2.6,.356,0.4,0.5,.750,1.2,1.6,0.3,1.9,2.2,2.3,0.9,5.0
Dante Exum,UTA,82,22.2,1.8,5.1,.349,1.0,3.2,.314,0.2,0.4,.625,1.4,1.8,0.3,1.3,1.6,2.4,0.5,4.8
Matt Dellavedova,CLE,67,20.6,1.7,4.6,.362,1.0,2.5,.407,0.4,0.6,.763,0.9,2.3,0.6,1.3,1.9,3.0,0.4,4.8
James Jones,CLE,57,11.7,1.3,3.5,.368,1.1,3.1,.360,0.7,0.8,.848,0.2,1.2,0.2,0.9,1.1,0.4,0.2,4.4
Andre Miller,SAC,81,15.5,1.8,3.6,.500,0.1,0.4,.206,0.7,1.0,.753,1.3,1.3,0.5,1.4,1.9,3.5,0.4,4.4
Nik Stauskas,SAC,73,15.4,1.5,4.1,.365,0.7,2.0,.322,0.8,0.9,.859,0.5,1.3,0.2,1.1,1.2,0.9,0.3,4.4
Steve Blake,POR,81,18.9,1.5,4.0,.373,1.0,2.7,.352,0.4,0.5,.707,1.3,1.5,0.2,1.5,1.7,3.6,0.5,4.3
Pablo Prigioni,HOU,67,17.9,1.4,3.4,.399,0.9,2.5,.343,0.5,0.6,.854,0.9,1.3,0.4,1.3,1.8,2.6,1.2,4.1
Miles Plumlee,MIL,73,16.4,1.9,3.5,.535,0.0,0.0,.000,0.3,0.6,.478,0.7,1.5,1.5,2.8,4.4,0.5,0.6,4.0
Glen Davis,LAC,74,12.2,1.6,3.4,.459,0.0,0.1,.000,0.8,1.3,.632,0.5,1.8,0.6,1.7,2.3,0.5,0.6,4.0
